[2025-09-08 07:04:18,942][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-08 07:22:26,619][trainer][INFO] - Epoch: 102/2000 ,time: 10.56 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:22:37,156][trainer][INFO] - Epoch: 103/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:22:47,701][trainer][INFO] - Epoch: 104/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:22:58,256][trainer][INFO] - Epoch: 105/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:23:08,832][trainer][INFO] - Epoch: 106/2000 ,time: 10.58 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:23:19,409][trainer][INFO] - Epoch: 107/2000 ,time: 10.58 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:23:30,019][trainer][INFO] - Epoch: 108/2000 ,time: 10.61 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:23:40,607][trainer][INFO] - Epoch: 109/2000 ,time: 10.59 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:23:51,144][trainer][INFO] - Epoch: 110/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:24:01,699][trainer][INFO] - Epoch: 111/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:24:12,274][trainer][INFO] - Epoch: 112/2000 ,time: 10.58 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:24:22,942][trainer][INFO] - Epoch: 113/2000 ,time: 10.67 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:24:33,613][trainer][INFO] - Epoch: 114/2000 ,time: 10.67 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:24:44,174][trainer][INFO] - Epoch: 115/2000 ,time: 10.56 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:24:54,756][trainer][INFO] - Epoch: 116/2000 ,time: 10.58 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:25:05,506][trainer][INFO] - Epoch: 117/2000 ,time: 10.75 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:25:16,100][trainer][INFO] - Epoch: 118/2000 ,time: 10.59 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:25:26,683][trainer][INFO] - Epoch: 119/2000 ,time: 10.58 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:25:37,287][trainer][INFO] - Epoch: 120/2000 ,time: 10.60 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:25:47,850][trainer][INFO] - Epoch: 121/2000 ,time: 10.56 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:25:58,403][trainer][INFO] - Epoch: 122/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
